x,y,state,turn,Blue Points,Red Points
8,8,state,turn,0,0
3,7,O,Blue,0,0
7,6,O,Red,0,0
3,2,S,Blue,0,0
4,2,S,Red,0,0
5,1,S,Blue,0,0
0,3,S,Red,0,0
7,7,O,Blue,0,0
1,6,S,Red,0,0
3,5,O,Blue,0,0
0,7,O,Red,0,0
6,4,O,Blue,0,0
5,7,S,Red,0,0
6,7,S,Blue,0,0
2,0,O,Red,0,0
6,6,S,Blue,0,0
0,6,S,Red,0,0
6,3,O,Blue,0,0
4,5,O,Red,0,0
2,4,O,Blue,0,0
0,0,O,Red,0,0
0,1,O,Blue,0,0
6,1,S,Red,0,0
4,0,O,Blue,0,0
7,1,O,Red,0,0
3,0,O,Blue,0,0
7,4,O,Red,0,0
7,0,O,Blue,0,0
1,1,O,Red,0,0
7,5,O,Blue,0,0
1,0,O,Red,0,0
1,7,O,Blue,0,0
6,0,O,Red,0,0
5,4,O,Blue,0,0
7,2,O,Red,0,0
7,3,O,Blue,0,0
5,0,O,Red,0,0
3,4,O,Blue,0,0
2,7,O,Red,0,0
2,2,O,Blue,0,0
1,2,S,Red,0,1
4,4,S,Red,0,1
4,6,S,Blue,1,1
5,5,O,Blue,2,1
2,6,S,Blue,3,1
5,6,O,Blue,4,1
4,3,O,Blue,5,1
3,6,O,Blue,6,1
3,1,S,Blue,6,1
4,1,O,Red,6,2
1,3,S,Red,6,3
2,3,O,Red,6,3
3,3,S,Blue,7,3
1,4,S,Blue,8,3
4,7,S,Blue,8,3
1,5,O,Red,8,4
6,5,S,Red,8,5
5,3,S,Red,8,6
5,2,O,Red,8,7
6,2,S,Red,8,8
0,4,S,Red,8,9
0,5,O,Red,8,10
2,5,S,Red,8,11
2,1,O,Red,8,11
0,2,O,Blue,8,11
